,index,RMSE,MAE,R2
0,ARIMA Hyp,31681.87384964069,25291.368531757624,-1.2022933544753522
1,ARIMA,29131.88720851048,22562.41824535869,-0.8620472072172294
2,XGBoost Hyp,21053.086353311715,14186.0,-0.4884687604785256
3,XGBoost,19788.0362430723,15049.642857142857,-0.31496312693968465
4,XGBoost Hyp1,19138.184071939235,12718.42857142857,-0.23001281240759086
5,LSTM,17172.69573438353,12490.07142857143,0.009658152188167568
6,LinearRegression,17053.767828338026,12685.42857142857,0.023327694735970406
7,LinearRegression Hyp,17053.767828338026,12685.42857142857,0.023327694735970406
8,LinearRegression Hyp1,16379.365248036062,13029.5,0.0990466269381296
